NULL,6700,2520,9220,9510,16210,NULL,AZ
NULL,8826,8760,17586,8760,17586,NULL,AR
NULL,NA,2450,2450,4250,4250,NULL,AR
NULL,8160,8608,16768,15298,23458,NULL,AR
NULL,NA,3274,3274,5014,5014,NULL,AR
NULL,5280,3600,8880,5760,11040,NULL,AR
NULL,NA,3570,3570,5580,5580,NULL,AR
NULL,NA,3480,3480,5310,5310,NULL,AR
NULL,7870,9068,16938,15848,23718,NULL,AR
NULL,6500,13190,19690,13190,19690,NULL,TX
NULL,11385,6384,17769,19866,31251,NULL,GA
NULL,6700,33889,40589,33889,40589,NULL,OH
NULL,NA,43416,43416,43416,43416,NULL,CA
NULL,9600,24024,33624,24024,33624,NULL,TX
NULL,NA,14850,14850,14850,14850,NULL,PA
NULL,10928,21645,32573,21645,32573,NULL,AZ
NULL,2758,23376,26134,23376,26134,NULL,PA
NULL,9500,14065,23565,14065,23565,NULL,NY
NULL,7160,30198,37358,30198,37358,NULL,KY
NULL,NA,2354,2354,8114,8114,NULL,NC
NULL,NA,12160,12160,12160,12160,NULL,CA
NULL,NA,5310,5310,18000,18000,NULL,KY
NULL,9941,21342,31283,21342,31283,NULL,OH
NULL,NA,1399,1399,1399,1399,NULL,GA
NULL,NA,4404,4404,13170,13170,NULL,CT
NULL,12694,40958,53652,40958,53652,NULL,MA
NULL,NA,5888,5888,5888,5888,NULL,NJ
NULL,NA,6810,6810,12870,12870,NULL,AL
NULL,NA,3292,3292,5962,5962,NULL,GA
NULL,NA,4008,4008,12088,12088,NULL,GA
NULL,NA,3350,3350,6020,6020,NULL,GA
NULL,NA,5096,5096,8096,8096,NULL,NJ
NULL,NA,4525,4525,4525,4525,NULL,PR
NULL,13332,11276,24608,30524,43856,NULL,AL
NULL,6980,10288,17268,22048,29028,NULL,AL
NULL,10280,38800,49080,38800,49080,NULL,MN
NULL,NA,3494,3494,6164,6164,NULL,GA
NULL,9640,10758,20398,29796,39436,NULL,GA
NULL,10572,42135,52707,42135,52707,NULL,IL
NULL,8248,33018,41266,33018,41266,NULL,SD
NULL,NA,18510,18510,18510,18510,NULL,OH
NULL,11700,24260,35960,24260,35960,NULL,IL
NULL,12527,39985,52512,39985,52512,NULL,TX
NULL,NA,2550,2550,13020,13020,NULL,TX
NULL,NA,11900,11900,11900,11900,NULL,TX
NULL,10700,8411,19111,24467,35167,NULL,TN
NULL,11436,20850,32286,20850,32286,NULL,FL
NULL,9976,34400,44376,34400,44376,NULL,VA
NULL,7200,19900,27100,19900,27100,NULL,MO
NULL,10076,38880,48956,38880,48956,NULL,CA
NULL,16312,51104,67416,51104,67416,NULL,MA
NULL,8410,29830,38240,29830,38240,NULL,KS
NULL,NA,1418,1418,7838,7838,NULL,CA
