NULL,Bergen Community College,Public,2 Year,NJ
NULL,Bergin University of Canine Studies,Private,4 Year,CA
NULL,Berkeley City College,Public,2 Year,CA
NULL,Berklee College of Music,Private,4 Year,MA
NULL,Berkshire Community College,Public,2 Year,MA
NULL,Berry College,Private,4 Year,GA
NULL,Beth Hatalmud Rabbinical College,Private,4 Year,NY
NULL,Beth Medrash Govoha,Private,4 Year,NJ
NULL,Bethany College,Private,4 Year,KS
NULL,Bethany College,Private,4 Year,WV
NULL,Bethany Lutheran College,Private,4 Year,MN
NULL,Bethel College,Private,4 Year,IN
NULL,Bethel College,Private,4 Year,KS
NULL,Bethel University,Private,4 Year,TN
NULL,Bethel University,Private,4 Year,MN
NULL,Bethesda University of California,Private,4 Year,CA
NULL,Bethune-Cookman University,Private,4 Year,FL
NULL,Beulah Heights University,Private,4 Year,GA
NULL,Beverly Hills Design Institute,Private,4 Year,CA
NULL,Bevill State Community College,Public,2 Year,AL
NULL,Big Bend Community College,Public,2 Year,WA
NULL,Big Sandy Community and Technical College,Public,2 Year,KY
NULL,Biola University,Private,4 Year,CA
NULL,Birmingham-Southern College,Private,4 Year,AL
NULL,Bishop State Community College,Public,2 Year,AL
NULL,Bismarck State College,Public,2 Year,ND
NULL,Black Hawk College,Public,2 Year,IL
NULL,Black Hills State University,Public,4 Year,SD
NULL,Black River Technical College,Public,2 Year,AR
NULL,Blackburn College,Private,4 Year,IL
NULL,Blackfeet Community College,Public,2 Year,MT
NULL,Blackhawk Technical College,Public,2 Year,WI
NULL,Bladen Community College,Public,2 Year,NC
NULL,Blessing-Rieman College of Nursing & Health Sciences,Private,4 Year,IL
NULL,Blinn College,Public,2 Year,TX
NULL,Bloomfield College,Private,4 Year,NJ
NULL,Bloomsburg University of Pennsylvania,Public,4 Year,PA
NULL,Blue Mountain College,Private,4 Year,MS
NULL,Blue Mountain Community College,Public,2 Year,OR
NULL,Blue Ridge Community and Technical College,Public,2 Year,WV
NULL,Blue Ridge Community College,Public,2 Year,NC
NULL,Blue Ridge Community College,Public,2 Year,VA
NULL,Bluefield College,Private,4 Year,VA
NULL,Bluefield State College,Public,4 Year,WV
NULL,Bluegrass Community and Technical College,Public,2 Year,KY
NULL,Bluffton University,Private,4 Year,OH
NULL,Bob Jones University,Private,4 Year,SC
NULL,Boise Bible College,Private,4 Year,ID
NULL,Boise State University,Public,4 Year,ID
